review_text_clean,sentimen
buka menu aktivitas tidk,netral
aplikasi rusak uang gw ilang pake ilang parah nih aplikasi,negatif
fitur buka udah nunggu bulan udah update aja baik fitur nya buka,netral
adakan dana cicil,netral
bantu uang hari,netral
benerin server nya kasih guna server nya lot eror,netral
ngak rekomend dana transaksi tuju,netral
bantu simpan uang,netral
trf cepat no admint,positif
mantap aplikasi manfaat,positif
buruk login akun dana,negatif
bantu gk muncul vitur dana cicil dana paylater knapa ya,positif
gagal daptar dana bisnis,negatif
dana cicil kasih rb pas udh lunas gabisa pake tulis sedia kocak,negatif
kecewa orang yg kecewa aplikasi dana uang yg hilang dng nya aplikasi dana dng maling dng mudah nya maling ambil uang privasi,negatif
kecewa dana dana ana terima keluh pelang ana penuh butuh langgan,negatif
akun dana jelek x d pakai pas urgent kendala slalu sx x,negatif
dana kemaren fitur dana cicil fitur dana cicil hilang aneh kecewa,negatif
tolong aplikasi nya upgrade min biar history uang dipake bayar tau keluar pasu contoh kayak pake uang rp pake balanja rp rp,netral
jelek banget suka eror,positif
ni tolong nya benerin gak ni aplikasi nya ngecek udah kirim gak liat sih loding banget tolong benerin kecewa kirim bukti aja gak lo ni emang bener dah aplikasi,negatif
cepat biaya recomendet,positif
dana cicil ga dah lunas,negatif
gmn nih dr kmrn diprosee cs nya udah chat ga balas,negatif
moga solid layan nasabah,netral
sngt guna untung,positif
tau ku ganti nomor ribet skrg susah bgtt udh suruh pindah akun oke lakuin eh ujung nya nihil alas aman skrg sistem sibuk nanya ana robot oke klo foto yg masuk ulng tpi gak jujur kecewa saat lgi butuh dana,negatif
bagus sayang fitur dana cicil,positif
aplikasi baik bantu terimakasih,netral
top ap game ko eror mulu,positif
bantu nya dana gampang,positif
uang suka ilang,positif
mantap moga amanah,positif
layan cs dana buruk verifikasi ulang akun tatap batas gak gak layan mending pikir ulang download aplikasi,negatif
alhamdulillah aplikasi percaya tingkat trs keamananya,netral
aneh pitur nya muncul,netral
aplikasi susah tau nomor hilang suruh ganti nomor hp ganti saldo gak lapor kali ttp tdk hasil,negatif
dana cicil pdhl aplikasi dana,netral
bantu banget ringan admin,positif
dana cicil ku sedia,netral
knp aplikasi dana d hp sy tdk bs d buka mhon bntuanny,netral
apk dana cicil,netral
gmn ngubungin google,netral
bantu sayang fiktur dana instan dana cicil,positif
transaksi masukin pin ya ribet,negatif
mantaap pokoke dana,netral
dana ya login tpi muter muter doang nggk masuk,netral
mudah cepat utk transfer mana,positif
is the best gays,positif
nge lag pis oi gw beli emas,netral
mudah bantu kirim uang transaksi,positif
payah aju dana cicil tagih layan langgan sulit akses robot yg no recommended dana download pakai aplikasi layan langgan sulit akses,negatif
mantab transaksi bayar mudah,positif
dana cicil udah dana instan muncul akun udah premium udah transaksi,positif
hati hati jgn simpen duit d dana bnyk hp hilang no hilang lupa no yg d aktif ny bantu buka akun yg no yg bantu k akun k ajar jgn korban,negatif
akun gabisa login masoh saldo nya cs nya ngga ngasih solusi muter doang lapor instagram email aja emang aplikasi jelek,negatif
pake dana tp blm masuk dana cicil,netral
verifikasi email gagal trus,negatif
pakai dana kemarin saldo dana hilang transaksi hasil dana premium nyaman aplikasi takut pakai dana,netral
trmksh bantu manfaat,netral
guna nya gampang,positif
tolong bantu kak dana cicil gak aju tolong bantu kak sekian terimakasih,negatif
listrik dana ko kendala,netral
terimakasih dana mantaf,netral
tolong dana knapa ya login nomer dana kode otp email yg ilang mohon kode otp nya kirim via sms whatssap dana konyol gbisa erti konyol,netral
parah udh ganti nomor karna nomor telepon aktif kode otp suruh login cair aneh,negatif
kasih bintang penguna dana udah gak kasih fitur dana cicil udah fitur dana cicil tambahin bintangnyaa,netral
pakai dana simple anti ribet,netral
dana ga ambil karna no hilang suruh verifikasi udah verifikasi muka pin ttp verifikasi whatsapp haduh,negatif
akun dana gak fitur dana cicil,negatif
kak tolong ganti ktp gak,negatif
kecewa akun dana uang hilang potong komfirmasi uda lapor dana mala bela belik tdk tanggung takut nabung dina uang kemarin aja,negatif
aplikasi ribet perkara nomor ilang gk masuk saldo asa dlu dana gk sni aneh nyesel pakai dana,negatif
tolong akun dana pindah proses cepat login pakai otp nomor ho,positif
fitur nya bagus mohon baik top up lelet,positif
neng bgt pake aplikasi biaya tranfer free jarang kendala q ris,netral
aplikasi bagus manfaat,positif
dana cicil pakai ya bayar sbelum jatuh tempo,netral
dana potong yg top up roblox tahu tolong kembali knp pakai kode no dana yg sangkut,positif
tingkat keamana amanah,positif
kecewa apk dana alas fitur dana cicil ga,negatif
mantap kl biasah ptongan tf nya jngan nayak bos,positif
filtur dana cicil hilang kak uninstal download versi dana versi dana kak,negatif
aplikasi henti login,netral
dana susah ribet pin face wajah kode via wa sms kartu nya udah hilang ga ga login tolong dana sulit gin udah face wajah langsung login aja kecewaa,negatif
dana cicil muncul tpi pas klik layar putih ga menu tetep kasih bintang karna emang bagus aplikasi ga lot cepat,negatif
cuman bayar qris verifikasi wajah,netral
suka pakai aplikasi dana,positif
dana cicil tida akun dana,netral
tolong aktif fitur dana cicil,netral
aplikasi dana tdk dot buka,netral
good sy suka,positif
dana ga aman kecewa karna sistem dana aman iya saldo rp kuras google tanps riwayat google hubung sistem dana mudah retas,positif
maaf lusye letwart yg aplikasi tsb masuk dana donasi nihil mohon solusi yg baik bagemana maling nyolong hak hak orang harap tsb mohon bantu ya terima kasih,netral
hallo maaf kmren aplikasi dana chat vs buka fitur pulsa listrik dll cman tarik dana kirim dana aja kmren dana ganggu,netral
enak kah udah masuk akun ngebug gak masuk udah,negatif
d hp samsung j gak login stlah baharu cobasolusinya,negatif
fitur dana cicil bom muncul,netral
buka dana permium ardi,netral
mantap aplikasi nya transfer uang,positif
dana cicil kecewa,negatif
aplikasi bantu cuman aman maksimal bisah sadap guna saldo sy habis sisa,positif
saldo potong gk transaksi potong babj,netral
dana instan muncul akun premium,positif
mantap aplikasi nya,positif
apa buruk banget login verifikasi nomor kalo nomor gak aktif gimana coba gw minggu gak opsi verifikasi kaga ituin diemin please kalo nomor gak aktif jan paksa verifikasi nomor,negatif
mudah ya atur dana instan,positif
jelek hilang handphone ganti nomor pindah saldo pakai verivikasi gagal ribet kesana kesini ujung nya gagal sistem bot gak bantu stop pakai dana sesal,negatif
pakek dana ni sumpah sampe akun masalah yg tibo saldo sedot otomatis sampe nol rupiah truss keduo udah premium tibo ado be bermasalahnyo masak iyo udah pakek thn dana masalah sam premium truss blokir otomatis nunggu parah ktp ado pluss dak ado dikit udah nak masuk thn pakek dana ni be dak biso premium aneh hati be bos udah kirim gmail ubah nomor dak biso aplikasih taik ni,positif
apk gak mutu bayar pakai apk aja ribet,negatif
knp dana cicil tdk pakai limit,netral
tolong baik nggak scan qr suruh edit foto,negatif
mantap aplikasi nya bos,positif
tangan tele tele,netral
ngpe dek tau mzuk ni,netral
aktif dana cicil,netral
sulit hapus akun,negatif
pakai dana dana cicil muncul muncul,netral
ribet login dana udah verifikasi wajah aja kode otp nomor aktif gimana login,negatif
ga dana cicil nya,negatif
buka apk bug hp buka apk,negatif
bagus kirim cepat,positif
tolong muncul fitur dana cicil d akun biar nyaman,netral
lol ngisi nomor tf bank mulu gw mksd tu nomor dana cok bank lol,netral
gak menu dana cicil dah premium dr aplikasi dana user,positif
akun fitur dana cicil update transfer guna,netral
ken danacicil tpi blom muncul muncul tunggu,netral
mudah transaksi mudah kirim uang trimakasih dana,positif
g login lot,netral
i love it everything is simple,positif
sistem sedng sibuk susah kirim uang nya,negatif
mudah operasi mudah transaksi akses cepat praktis gratis kirim,positif
dana bagus bantu,positif
ora dana cicil udah pake dana,netral
dear dana i cannot log in to my dana account using a passkey or password please help me log in using the otp code sent to the linked email thank you dear dana,netral
dana cicil m uncul,netral
udah pakai apk dana gak muncul fitur dana cicil nya,negatif
mudah semenjak paki aplikasi dana praktis,positif
dada cicil elor,netral
tlong aktif dana cicil biar guna pakai aplikasi tahun,netral
pinjam saldo ngak wkwkkw,netral
akun beku karna proteksi chat ana robot gitu aja email gak respon uang nyangkut gak kirim uang masuk gilir kirim uang gak ga tanggung nya,negatif
bantu percaya dana makasih,netral
nyaman mantab bagus,positif
bagus terima kasih,positif
hati yg pakek dana klo nmer hangus sdh urus alas tipu bas aplikasi sdah kali kena,netral
bener aplikasi ancur lu bikin apl konsumen konsumen nilai lu jelek tuh observasi suruh ngobrol ana jawab tuh template mending ngobrol orang tolol banding ana bot ga ngerti lu tim gapunya karyawan tugas solve problem aneh lu ngurus akun ae nunggu ribet,negatif
transaksi mudah poko aku jadi premium lu dana cicil wahh mantap poko terimakasih sukses dana,positif
akun dana buka mohon solusi admin diupdate gk masuk loding pasu nomor dana henti lodiang tampil gelap tampil apa mohon solusi buka kasih bintang,netral
ganti nomor aja susah banget sulit udah tau ganti nomor nomor masalah hilang verifikasi wa ga ngotak nama ganti customer care suruh nunggu kerja udah ga ubah dapet notif kendala selesai hasil ga nomor ga ubah gimana dana ente kadang kadang nyusahin ya,negatif
apk yg bantu,netral
dana cicil bos,netral
lambat kali dana tolong cepat,positif
aplikasi aneh pdhal udh isi saldo saldo saldo hangus,netral
nya trimakacih banget dana karna dengn aplikasi urus mudah sukses slalu dana mudah an depan trus,positif
udah pake dana tahun kali paketin data mlh eror gabisa klo tf,negatif
oke bgt transaksi apa mantap,positif
mohon maaf ya tolong muncul aplikasi dana nya dana cicil akun dana orang dana cicil nya terima kasih,netral
oke skrg lg apk smoga aman nya bagus,positif
timbulkn dana cicil,netral
ka fitur fitur dana cicil keren akun premium,positif
dana instan nya ga muncul min,negatif
aplikasi dana bagus mantap,positif
dana cicil blm,netral
makasih dana bantu,netral
bagus transfer dana,positif
bagus kadang notifnya telat masuk,positif
aplikasi bantu proses bayar,netral
pokok e mantap,positif
moga amanah nyaman percaya,positif
aplikasi jelek duit mamah ga tf tarik ga daftar dana premium pdhl ktp udh bener ga bgt download rugi,negatif
kak ko dana cicil ga pakai,negatif
fitur dana instan hp ku bintang terima kasih,positif
blom dana cicil,netral
aman simpan dana,positif
muncul dana cicil ga aktivasi yaa,negatif
ga fiture danacicil,negatif
kasih bintang biar baca fitur dana cicil sedia klik proses putih layar fitur fitur sedia,netral
sengaja hapus bintang kecewa nya dana cicil gak akses teransaksi pake dana,negatif
butuh fitur dana cicil,netral
aplikasi transaksi kirim transfer beku,netral
tolong keaamanan rahasia bos,netral
apk lot sinyal bagus masuk aja susah,negatif
aplikasi dana aju fitur dana cicil sedia aplikasi,netral
mantap selesai bulan saldo yg aman,positif
dana cicil knapa y ga buka menu sdh muncul,negatif
baguss cepat aman,positif
hati dana jebol sm tipu bahaya dana hilang jebol tipu yg pakai aplikasi dana hati,negatif
gak bsa upgrade sich pdal ad bwak surat mlh gak bsa,negatif
mudahn lbih lgi,netral
tidk masuk krna sala pin padahl gw instal gimana,netral
bagis bngt anjay download ga lo,negatif
dana njirr bayar listrik gx baik ku kasih,netral
login aja apk dna g ad respon hdech mkim kesini jlek apk nya,netral
puas layan in,positif
bantu apa menu dana cicil sukses,positif
fitur dana cicil fungsi kena bug gak buka,negatif
sayang tida limit dana cicil,netral
ikut perintah ana verifikasi gagal udah nunggu sampe minggu chat ig gak respon kirim email help dana gak balesan lu kerja nya ngapain sii,negatif
bagus moga aman,positif
layan bagus kendala taut akun toko bintang,positif
aplikasi nya bagus apgret ya,positif
limit eror gk kosong gk cicil nya knpa skrg gk,netral
kembali saldo kuras seluler telekomunikasi mohon bantu,netral
apk nya best banget,positif
sayang fitur dana cicil,netral
bantu enk tranper,netral
akun dana cicil pakai ya,netral
dana cicil bagus banget bantu dana instan udah ngak bantu bantu banget semangat dana,positif
mantap aplikasi mohon tingkat kerja servernya,positif
susah bngt hapus akun,negatif
gagal gagal transaksi,negatif
sgt bagus cepat murah kirim nya,positif
apk dana ok bgt,positif
kadang ganggu transfer e wallet,netral
transaksi mudah dana,positif
muas karna mana aja bagi,netral
kendala mudah mudah,positif
transaksi apa super mudah,positif
ngebug mulu anj apk nya,netral
top up dana nggak tulis kendala dana,positif
knp akun gk ad dana cicil,netral
dana cicil bom muncul,netral
tolong muncul fitur dana cicil,netral
moga rezeki limpah,netral
jelek banget kerja customer care,negatif
bagus si nda pinjam,positif
server down baik,netral
apk dana transaksi tpi fitur dana cicil tolong bantu,netral
aplikasi buruk uang hilang,negatif
gimana ya nya buka dana nya kalou lupa pin bantu kah solusi ngak,netral
saka apk dana,netral
kapasitas simpan uang dinaikin max juta,netral
akun dana gw ga dana cicil dana instan nya bos,positif
bantu proses ajar,netral
puas lengkap mudah proses bayar,positif
kalo limit nya lgy,netral
saldo potong acc milik akun,netral
lot aplikasi jaring bagus kuota full,positif
akun dana susah login,negatif
alhamdulillah dana cepat amanah terimakasih dana,positif
bantu hidup terimakasih dana,netral
proporsional sesuai selesai gak atas pindah saldo akun akun ga selesai aju aja ny udh jwb aja gk selesai tolong yah guna apk dana klian costumer proposional oke,positif
serba aplikasi batu,netral
aman amanah lancar,positif
aktipkan vitur dana cicil,netral
dana cicil muncul akun pilih,netral
masuk dana suharti abakar,netral
ko dana cicil gak,negatif
hbis verivikasi kirain dana digital gak tau zonk,negatif
lupapi solusiny gimana pakai no merer nyng gak bisah bingung bantu cuman sisten yng balas solusiny gimana lupa pin atmin bantu,negatif
prosee nya cepat,positif
mudah percaya bagus pokok,positif
cair dana instan lunas cair terang trouble,positif
responnya lambat kendala hapus akun pindah akun ribet jg tf dana upgrade premium,negatif
apk dana aktivitas transaksi karna jaring buruk tunggu coba uninstall install login kirim tanda bukti bayar,negatif
cuman aja yg top up shopee via dana mesti masalah kalo nominal aman kalo jt mesti gak masuk duit nunggu besok duit satset,positif
tolong kasi fitur dana cicil min biar bantu,netral
dana buka nomor hilang tolong bantu min,negatif
dana cicil akses orang tolong ana hapus robot bantu,negatif
gak masuk paswod salah,negatif
upgrade susah cantum provinsi sumatera utara aneh,negatif
aplikasi dana nya gak masuk aplikasi dana nya gimana ya,negatif
bangga aplikasi dana mudah,positif
muda pake aplikasi dana,netral
gua ganti pin karna lupa pin pas ferifikasi vedeo gua udah kirim gak balas,negatif
batu bayar mudah engga kecewa dah pake aplikasih dana,negatif
muncul notifikasi salah bayar pakai dana cicil mohon gunaka metode bayar tolol respon lelet kaya bekicot kadang forceclose pas transaksi versi baru,negatif
apk jalan lancar mantap,positif
kecewa fitur dana cicil premium transaksi dana transaksi hampir ratus juta kemarin konsultasi dana respon nya,netral
aplikasi dana emang gak ribet pakai dana cicil sdh premium,negatif
cepat n gak ribet terimakasih dana,netral
susasa masuk dana nya,netral
dana gak hapus tp dana bantu org terima kasih dana,negatif
bantu mudah transaksi aman,positif
tolong baik liat transaksi ga udh instal ulang ttp ga,negatif
dana cicil gak aktivasi,negatif
aju dana cicil sulit agustus dana cicil cs dana dongo lot,negatif
kecewa aplikasi dana niat nya nyimpan duit transaksi kenal gak kirim uang pihak udah pake aman hilang duit dsitu,negatif
dana civil gak buka updet kak gak liat vdio nya,negatif
aja cepat mudah transaksi,positif
apk dana jd aman sglnya,positif
knp tdk aplikasi dana dana cicil,netral
buka aplikasi dana digital indonesia percaya,netral
pakai dana mudah,positif
udah aju unbind premium kali kali unbind heran,positif
pake kode otp pake pin wajah ribet aja ku liat dana tolong pake kode otp,negatif
kecewa aplikasi dana saldo potong ribu aplikasi aplikasi chat live assistant harap opsi kembali dana uang kebtuhan sekolah anak,negatif
dana cicil gak kk tolong aktif fitur dana cicil nya moga cepat,positif
akun notifikasi dana paylater udah upgrade premium,positif
akses fitur dana cicil,netral
dana erol gx kebuks,netral
sangaatt bantu dlm transaksi,netral
man ta p,netral
tolong kalo login pake verivikasi muka masuk sandi ngak pakai kode otp ngak akses no ngak terima kode otp nya ngak kalo verivikasi muka coba ganti nomer kendal kendala dana update ribet,negatif
nyimpan uang transaksi mudah terimakasih dana,positif
nyaman aplikasi dana gak pinjam,negatif
uang ku gk masuk gimana,netral
bantu terima kasih,netral
terima kasih mudah nyaman,positif
kecewa bner min knpa apk dana ku dana cucil gak muncul pake apk puluh berteransaksi kirim bayar pake apk dana tpi ko kecewa pilih kasih yaa yg apk,negatif
pinjam saldo chet ana nampak gambar an cht,netral
uang gue ilang woi,netral
gabisa scan udah kalo udah bagus up ratingnya,positif
senang pakai aplikasi,positif
batu teraper capat ngak iling lgi terima kasih dana,netral
puas mudah ber transaksi,positif
hey dana tolong respon pesan ig ambill saldo nyangkut akun proteksi,negatif
udah coba reffund dana tipu orang sampe bom proses proses surat kertas nya udah cetak lom proses sampe sampe lom proses cumang ikhlasin aja,netral
dana cicil ga muncul kalo butuh dana darurat jdi bingung,negatif
susah banget masuk pake gmail kek pake no tlpon aja biar langsung udah kali kali masukin email nya udah bener loh tetep aja salah gimana sih,negatif
bantu god job,netral
bantu aplksi dana trimaksih moga kembang guna,netral
gak ktp tolong upgrade dana,negatif
bagus bantu trafer,positif
burik nggk daftar jaring masalah jaring kuat apk busuk,negatif
apk gak email aktif nomor telpon aktif nomor whatsapp aktif kode otp kirim akun dana saldo,negatif
udah taun nan pake dana ko ngga kasih fitur dana cicil sih nama asep wa nomor ujung trimakasih,netral
gimna nya pinjam dana,netral
ko sulit idak kemarin kemarin alamat tuju beda alamat tuju klik kolom aktivitas muncul alamat hidup pakai dana bikin mudah,netral
ngga liat riwayat,netral
tanggung hilang nya akun g solusi guna kecewa,negatif
