review_text,rating
kenapa akun saya tidak pernah muncul Dana cicil,5
Dana memang mantap,5
bagus,5
"limit dana cicil seharusnya sudah naik,ini masih segitu gitu aja setelah pembayaran",4
ok,4
ada dana cicil tapi tidak bisa ke buka malah megeg aja kenapa yak,2
terimakasih dana,5
keren,5
"duit kirim ke dana tidak diterima, pikir2 kalau mau pakai dana karena tidak dapat dipercaya, e-wallet paling jelek di playstore",1
aplikasi nya bagus sih.. tapi uang saya hilang di aplikasi ini sebesar Rp 305000.mohon kembalikan uang saya yg tiba tiba hilang.sampai hari ini saya tahu karna tidak ada transaksi tapi uang hilang,1
manta,5
sangat membantu saya,5
"cukup baik, selama menggunakan nya belum terjadi masalah",5
somoga sukses selalu,5
sangat membantu,5
sanget bagus,5
saya kasi bintang 4 karna saya sudah lama memakai apk dana dan sekarang habis diperbarui saya kecewa karena tidak bisa tarik tunai malah nongol gambar nomer 307 dn tulisan wah jalanya di tutup,4
sangat membantu,5
"Tiba tiba dana premium saya jadi basic, upload ulang malah ktp saya di gunakan nomer lain yang saya gk kenal, laporan malah ribet, ini ktp saya loh, ayo dong masa iya dana gak ada solusi Saya takut ktp saya digunakan pinjol atau judol Tolong jamin keamanan Ataukah adamain??",5
"good bank ewallet,,,,",5
"Sebenarnya aplikasinya sudah TOP banget,sayang didalam apk ada fitur dana goals yang bisa menyimpan tapi tidakbisa ditarik,SUNGGUH KECEWA",1
sangat membantu,3
bagus,5
kenapa dana cicil saya tidak bisa d pakai,5
pake dana mantap,5
mudah digunakan orang,5
BAIK DAN NYAMAN,5
bagus,5
mantaf,4
ngak bisa login ke akun dana saya njirrr,1
biar gampang untuk pembayaran,5
ok,5
ko ga bisa login ya,5
sangat puas,5
akun saya ada limit dana cicilnya tagihan semua udah lunas tapi malah limitnya gak bisa di pakai buruk sekali aplikasi nya,1
bagus,5
enak di gunakan transfer semua Bank,5
"transaksi cepet, secepat kilat",5
oke,5
dia itu kalau mau tarik uang kaya harus dana premium,3
sangat mempermudah,5
"dana emang ok,tp ada kendala tlat byr dana cicil GK bisa d pakai",5
hidup lebih hidup dengan Dana.,5
hai kk aku mau pindah akun TPI gagal terus tolong dibantu kk soalnya akun aku yg lama g bisa masuk karena nonya hilang,5
"Dana Tololl Bikin Ribettt Minta Verifikasi mukaa muluu nyusahin orang tau gak, gimana nasib yg pake KTP orangnya udah gak ada coba, Tolong deh di hilangkan aja Verifikasi wajah tuh gak jelas tau gak",1
kenapa sekarang biaya admin nya lebih mahal yaaa,4
hallo kenapa hr ini tidak bisa bertransaksi ya? keterangan nya banyak yang sedang bertransaksi..maksudnya gimana ya??saya butuh cepat untuk transfer uang,3
sangat baik dan membantu,5
trima kasih ...kami sangat terbantu adanya aplikasi DANA,5
"tolong lah benerin aplikasi nya banyak bug, mau ganti nomer hp tulisannya ""ups, ada kendala saat memproses""",1
apk bobrok jelek bgt ga guna saldo sering hilang tiba2 aplikasi pencuri,1
baik sekali,5
bagus,5
Kenapa tidak ada dana cicil di DANA saya,4
baik,5
ok Sagan membantu,5
"mau hubungi bagian layanan nya kmna boskuh,, knapa dana instan nya ga bisa d tarik, gangguan aja .. kecewa banget..",5
"kok ngga bisa di gunakan lagih dana cicil yah. udh informasi dari live Chet tetep ajh ngga ada kejelasan bisa di gunakan apa ngga, makin kesini makin ngga jlas dana ini",2
terbaik,5
semoga ttp mnjaga kualitas keamanannya,5
puas /bagus... respon cepat,5
dana eror terimakasih dan tolong di perbaiki,1
sangat membantu,4
"cepat,mudah ,murah...kalau bisa ke bank manapun gratis 😁🫰👍",5
sangat membantu masalah ekonomi,5
aplikasi yg sangat berguna,5
mantap,5
Amazing,5
sayaa sangatt puass,5
transaksi tiba tiba kepotong DANA ga bagus,1
sangat cepat,5
mantap,5
bagus,5
trimakasih Dana makasih banyan pokoknya mantap kirimnya,4
"Saya pernah terkena penipuan dan hacking pada Smartphone dari jarak jauh lalu kehilangan saldo dana ±1.150.000,- IDR tetapi setelah dilaporkan ke pihak DANA tidak dapat mengembalikan uangnya kepada saya walaupun saya punya bukti laporan kepolisian juga. Kurang aman save uang terlalu banyak di DANA walaupun sudah pakai kode sandi, kode pin, & sidik jari masih bisa jebol.",4
very good,4
"uang gua udah 2x hilang d disini, udah d laporin tapi pihak dana ngk ada respon, itu transaksi ke tiktok pay later bukan saya, tanpa saya ketahui saldo k potong semua, dm gua d ig ngk pernah d balas ya min",2
baik,5
membantu banget.. tpi sayang belum nampil dana cicil,5
mntap,5
mantap,5
sangat bagus,5
bgus,5
sangat membantu saya. terimakasih saya kasih bintang 1000000000000000m,5
mantap,5
sayak bagus,5
symh udh lama make aplikasi dana tapi knph dana cicilnya ga muncul2,5
mudah praktis,5
siip,5
"sangat membantu apk ini,,,tpi kenapa tida bisa d perbaharui",5
mantap bos ku,5
sangat membantu,5
sangat bagus,5
good,5
saya sangat terbantu dengan adanya aplikasi dana,5
says sanagat kecewa dengan aplikasi Dana padahal saysaya buka dompet says sendiri sudah ngga bisa lagi karna nomor saya sudah tidal aktip lagi padahal saya sudah menjelaskan semuanya akan tetapi jawabannya Muter Muter mulu Maya orang bego /koplok..jadi saya bener bener kecewa dengan saldonya yang ngga bisaa di tarik bisaa di katakana hilang,5
baik,5
uang saya sering hilang tahun kemarin 11jt tadi malam 1jt700 sengaja gua kasih bintang 5 buat keliatan,5
"saya sudah lapor bahwa OTP terkirim ke email tidak saya kenali. sampai sekarang tidak ada solusi untuk masuk dalam akun dana saya, padahal nomor masih aktif. saya minta alihkan ke WhatsApp tetap tidak digubris",1
keren,5
baik,5
keren,5
bagus dah,5
saya kasih bintang dua dlu soalnya fitur dana cicil saya tidak muncul-muncul sedangkan saya aktif bertransaksi di dana dan dana saya sudah premium 😭😭,2
plisss jangan mempersulit untuk login ke akun saya sendiri🙏🏻,1
"apk buruk ,tidak ada nomer customers servis nya.jika tejadi kendala gak bisa cari solusi",1
bagus banget,5
bagus,3
moga ada paylater nya,5
muncul kan dana instan,1
"oke, buat kirim uang",5
aku nyaman setela memmaki dana,5
bagus,5
"ga rispek bintang 4,di potong mulu saldonya",4
mantab,5
Bagus,5
terima kasih banyak..apk dana saya sdh aktip kmbali..semoga kdepan nya bisa lbh ok lgi.,5
tolong aktifkan fitur dana instan saya kak,5
praktis dan keren,5
sangat bagus tapi sayangnya saya tidak ada fitur dana cicil atau dana instan,5
terimakasih dana,5
Bagus,4
dana apk paling cocok tuk brbsnis,5
"jelek suka lgsg kesedot klo naro uang disini tanpa penjelasan alesannya google langganan pdhl gada samsek, ga amanah mau pindah apk aja nyesel uda premium in",1
bagus sekali apk ny,4
sangat membantu dalam bertransaksi se hari2.,5
the best,5
mantap,5
sangat membantu. dan mempermudah bertransaksi.👍👍👍🙏🙏,5
"saya kecewa sama dana sekarang,kenapa apk dananya ga bisa di buka padahal masih ada saldo,lebih bagus apk lain",1
sangat membantu transper kemana SJ,5
wow,5
mantap banget dhe,5
aplikasi paling terlalu proteksi. pindah login ke hp baru aja susah. alasan pemcahayaan kurang padahal udah diluar ruangan. lol,1
good,5
"mantapp, sangat membantu",5
sangat mantap 👍 saya suka Aplikasi ini,5
Jangan pake apk ini kalau duit kalian ga mau ilang banyak banget korbannya yang kebobolan duit gue aja ilang lebih gilanya lagi apk ini ga mau tanggung jawab yang katany ada fitur refund uang kembali 100 persen mana ga ada sama sekali gue bilang kaya gini cuman mau kasih tau aja buat kalian lebih hati hati dan buat DANA HARUS BERTANGGUNG JAWAB GUE KECEWA BANGET WOYY,1
sangat membantu saya dalam melakukan transaksi,5
tolong perbaiki fitur qris saat saya mau bayar qris memproses nya sangat lama,3
"tolong dana diperbaiki lagi ,aku lupa pin mau ganti pin saldonya hilang nggk bisa balik lagi ,dana macam apa ini macam heker aja mengambil punya orang lain.... aku kira dana bisa aman dari bank yg lain ternyata nggk ..... tolong perbaiki jika ada kesalahan membuat akun atau lupa kata sandi serta keluar masuk akun saldo jangan hilang dong... sama saja macam pencuri je",3
ga ribet kaya yg lain,5
najis fi kasih dana cicil tapi gabisa di pake,1
mantap,5
baik,5
bagussss,5
sangat buruk bayak kejadian kehilangan atau berkurang dengan sendirinya sangat mengecewakan,1
mantab,5
bagus sekali,5
aman terpercaya,5
sangat baik,5
mantap,5
"prihal fitur cicilnya udh muncul tp tdk bisa d gunakan kaya nge bug gitu ,",2
apk dana terpercayanya,5
semoga amanah,2
terbaiklh,4
sangat membantu🙏,5
puas sekali,5
sangat bagus,5
Lumayan,5
mantap,5
mantap,5
👍🏽👍🏽,5
tidak ada fitur dana instan,3
"jgan pakai aplikasi dana..karna aplikasi tidak aman..500 ribu uang hilang,akun tidak bisa login ,,,uda kita lapor ke help dana tapi tidak di tanggapai...",1
mudah dan cepat klo ngambil uangnya,5
gooodddsss app,5
good,5
"makin ga becus demi allah ini dana, masuk ke akun bisnis aja lama banget stuck di logo mana duitnya belum ditarik, ngechat masalah ke admin sosmed responnya lama 1minggu baru dibales ngechat ke diana percuma namanya jga bot nanya apa jawab apa. hapus cache tapi tetep gabisa nyoba logout sama aja gabisa. ahhh anj kayanya bakal berhenti pake aplikasi ini kalo terus terusan bermasalah, asli takut duit ilang dimaling ama dana sendiri. kalo gabisa jaga kepercayaan konsumen lu hapus aja sekalian dana",1
sangat bagus,5
OK,5
puas,4
bagus,5
mantap,5
aplikasi ini sangat membantu,5
"tapi kenapa mandiri TF ke dana sya ngga bisa ,,tolong bntuan ny",5
heran aja knapa yg lain bsa pinjaman didana ya ...,5
mantap,5
bgus,5
bagus,4
"ini eror , masa data sesuai tiba2 tidk bisa upgrade ke premium",1
sangat puas,5
kecewa banget sama dana ga bisa belik data/pulsa,1
"Saya tidak bisa login ke akun saya karna alasan keamanan , saya sudah kirim email tapi tidak ada tanggapan apapun ...",2
baik,3
adain dana cicil dong min di akun saya,5
"aplikasi semakin tidak jelas, fitur dana cicilnya sudah muncul , akun sudah premium tapi ketika mau masuk ke fitur dana cicil stuck di halaman kosong. tolong kepada pihak dana untuk di perbaiki",5
setiap saya isi saldo dana saya langsung terpotong begitu saja,1
Bagus,1
"ada kendala mulu, ribet daftar premium",1
Mantap...,5
"bagus, sangat membantu",5
ok,5
bagus bangettt 👍👍,5
sangat membantu,5
"sementara sy kasih bintang 2, aplikasi stlh di update kok mlh susah masuknya tdk bs dibuka.",2
sangat membantu kebutuhan transaksi,5
"Dompet digital Dana ini sangat baik,serta memudahkan transaksi ke berbagai akses digital modern diera milenial❤️ili'ke them for it's Dana♻️",5
bagus,5
sangatt baikk,5
semoga sukses selalu,5
baik sekali,5
"4 dlu lah yaa, yg 1 ntar nyusul",4
sangat berguna dan meringankan tranksaksi.. dan juga sangat aman,5
tolol bego 5x isi pulsa ga masuk semua tolol,1
good,4
sangat membatu,5
sangat bagus,5
saya pungguna dana tidak ada muncul dana cicil saya kecewa sebagi pengguna dana,1
"Buat TF, belanja dll mantapppp",5
bagus,4
"kenapa harus upgrade dana premium susah babi kirim dana ke kawan maupun ayah, kirim dana biasa aja biar mudah",2
apa penyebab dana cicil tidak tersedia/tidak berlaku min tolong di jelaskan,4
sangat membatu cepat dan praktis,5
ok,5
"kenapa saya tidak bisa pakai aplikasi dana, tulisannya koneksi internet terputus terus padahal signal bagus",2
masih kurang bnyak fitur nya,5
sangan bagus traksi gampang tanpa ada biaya administrasi,5
btw kenapa aplikasi saya selalu menolak untuk scan barcode ??,5
aman dan terpercaya,5
fitur dana cicil saya tidak muncul,5
"sekarang dana makin hari makin jelek, selalu aja tidak bisa transaksi dan muncul opsi ""banyak orang sedang melakukan transaksi saat ini"" jadinya disaat mepet mau cepat-cepat mengirim uang jadinya tidak bisa. dan sering muncul tulisan tidak ada internet padahal ada tersambung dengan internet dan sering mutar-mutar tidak jelas jadi makin ribet.",1
"aplikasi kocak mau transaksi pun ribet bgt harus nunggu aplikasi nya sepi dulu ,masa mau transaksi penuh terus",2
bikin gampang,5
"saya kehilangan saldo di potong otomatis sama google capcut tapi di google tidak ada bukti transaksi terkait dan pihak dana pun tidak bertanggung jawab sangat kecewa dan bagi saya buka nominal kecil RP.276,390",1
"tmn saya pake nomor hp saya untuk buat daftar akun dana, knpa saya tidak bisa buka nya",5
ok,5
sangat membantu sekali.,5
bagus,5
tolong aman kan dana premium di bantu serta di pandu yea,5
cocok buat yang sering lupa bawa dompet,5
sangat baik,5
sangat memuaskan,4
mantap,5
bagus,3
mntap,4
sangat sangat membantu dan dana pun tidak pernah menyulitkan dan merugikan. sangat2 berterima kasih atass admin2 yg punya apk DANA ini..,5
na. brapa domlot tetap GK msuk aplikasi internet Mulu kselhan nya pdahal pket internet banyak,5
sangat berguna,5
sekarang mah banyak potongan kalu mau top up lebih baik pindah ke ATM aja,1
bagus banget,5
"tf ke bank lain TDK bisa benar"" dana mengecewakan 😭",1
bagus,5
"apk nya bagus buat transaksi, trimakasih",5
ganti no dana atw ubah akun,5
sangat bagus,1
sangat berguna bagi U.M.K.M,5
kenapa saya tidak bisa klik mengirim uang,1
mantap,5
aplikasi yg sangat bagus,5
gagal terus gak bisa tf ke orang lain,1
mantaappp,5
mantab,5
sangat baik dan berguna,5
terimakasih aplikasi membantu dalam usaha,5
uwang nya hilang muku,2
sangat puas,5
ok,5
mantab 👍,5
baik,1
"sangat membantu sekali,tapi sayang fitus dana cicil sulit keluar,udah keluar malah nggak bisa di pake,sekarang hilang lagi fiturnya",5
cukup bagus dan mudah di gunakan,5
ok,5
"sangat bagus mudah untuk permasalahan keuangan, mantap banget well",5
baik,3
Ok,2
mantapp,5
dana sudah menjadi Apk yang gagal. sudah tak bisa mengatasi sebuah masalah,5
sangat membantu dalam transaksi,5
Memuaskan,5
akun dana di tangguhkan tolong di buka lagi,5
makin parah dana sekarang bagus cari dompet digital lain...yang lebih bagus..nanya sama diana tidak ada penyelesaian nya nya...pakai SEABANK JUGA YANG BENER,1
sudah 1 bulan dana cicil tidak tersedia padahal selalu lunas tagihannya ini kenapa ya tolong lah admin...,1
"KECEWA.! terus terusan transaksi, identitas lengkap tapi fitur DANA CICIL tidak bisa muncul",1
"kenapa ya pas mau bikin akun baru pake nomor baru , ga bisa bikin pin baru malah gagal Mulu",2
cepat dn tepat,5
assalamualaikum dari pihak dana mau tnyak dana cicilan sperti itu kah masa aku pinjam 20 ribu hras aku bayar 108 ribu gimna ini GK jelas mohon tindak lanjutnya,1
Upgrade ke premium gagal terus,1
baguss,5
aplikasi dana sangat membantu dalam keuangan,5
ok banget,5
mantabb gak ribet gunainya,5
mudah dan nyaman digunakan,5
jos,5
ada masalh soal dana tang premium kembali ke manual dutuh upgrade lagi mumet aku.,1
gak bis narik di alfa,3
ko sekarang dana banyak gangguannya iya.,1
bagus banget,5
sudah sangat ok,5
transfer uang sangat cepat dan mepermudah transaksi,5
Thanks Dana,5
nice,5
tidak memuaskan udah tf tapi dnk masuk dan uang ku hangus,1
oke,5
baik,5
mantaapp,5
pakai dana buat bayar apa saja aman dan cepat trimakasih dana bisa di percaya,5
mantap,5
terima kasih e wallet sangat membantu,5
sunggu sneng sekali,5
gal bisa buka di hp,2
"sialan dana ada rewards GK jelas saldo kepotong tapi rewardsnya GK jelas dipakai buat apa.., terus topup kena cas, padahal blm 20 kali, ngk usah bangga²in mudah karena hari gini semua aplikasi juga ngasih kemudahan untuk transaksi tapi bedanya mereka gk ada potongan atau biaya admin... paham ngk admin ngehe??",2
"𝐴𝑙ℎ𝑎𝑚𝑑𝑢𝑙𝑖𝑙𝑙𝑎ℎ 𝑡𝑒𝑟𝑖𝑚𝑎𝑘𝑎𝑠𝑖ℎ 𝑑𝑎𝑛𝑎 𝑑𝑜𝑚𝑝𝑒𝑡, 𝑘𝑎𝑟𝑒𝑛𝑎 𝑎𝑑𝑎 𝑎𝑝𝑝𝑖𝑘𝑎𝑠𝑖 𝑖𝑛𝑖, 𝑑𝑎𝑝𝑎𝑡 𝑚𝑒𝑚𝑏𝑎𝑛𝑡𝑢 𝑠𝑎𝑦𝑎 𝑠𝑒𝑡𝑖𝑎𝑝 𝑝𝑒𝑛𝑦𝑖𝑚𝑝𝑎𝑛𝑎𝑛 𝑠𝑎𝑦𝑎, 𝑠𝑢𝑘𝑠𝑒𝑠 𝑟𝑒𝑢𝑠, 𝑑𝑎𝑛 𝑠𝑒ℎ𝑎𝑡 𝑠𝑒𝑙𝑎𝑙𝑢,, 𝑎𝑚𝑖𝑖𝑛",5
Gak aman saldo dapat terpotong Tampa persetujuan,1
"terima kasih karna , aplikasi dana dapat memudahkan dalam transaksi digital.",5
DANA CICIL gak bisa di buka,5
sejauh ini bagusss,5
dana cicil ga bisa terpakai.tlong di bantu dn di oerbaruhi,5
yaaaa saya sangat setuju,5
"baik mudah di pakai, pokoknya sangat membantu",5
cukup baik lah,4
"Kok aplikasinya makin ke sini makin error, masa iya mau tarik tunai sudah beberapa kali klik tapi tak kunjung muncul malah loading terus tidak ada tampilan untuk menarik. Tolong perbaiki lagi sistemnya! Terima kasih 🙏🏻",2
sangat bagus,5
"sangat amattt tidak bagus kita harus upgrade premium sedangkan lagi ada keperluan mendesak mengirim uang dari dana, tetapi harus upgrade dulu dan harus tunggu dua hari tolong yang amanah dong",1
mantap apk nya,5
"stelah di update sudah 2 hari ini mlah ngga bisa di buka,, sampe hp di restart ulang juga tetap ngga bisa yg salah aplikasinya ap hp nya entah lah,,",1
aplikasi sangat membantu,5
terbaik👍,5
alhamdulilah aplikasi nya sangat membantu,5
bagus,5
Mantap,5
dana instan saya blm ada kak.. semoga saja dana beta update cepat keluar,5
pastinya membantu . aplikasi OCK,5
mantap,5
good,5
mantap,5
sangat baguss,5
semua lebih mudah & terpercaya,5
baik,5
sangat nyaman di pergunakan,5
cukup membantu,5
ko dana jadi lemot banget ya sekarang,1
good,5
SAYA TOP UP KARTU MANDIRI E-MONEY TETAPI TIDAK BISA MASUK & SKRG DUIT SAYA TIDAK DIKEMBALIKAN!!!! KECEWA,3
napa Dana cicil syh masih blm aktip,5
moga lancar....,5
bagus sekali,5
gampang dan lebih aman,5
sangat baik,5
sangat baik,5
ok,5
Sinyal baik dan lancar,4
happy,5
mantap,5
oke bagus,5
tingkatkan keamanan nya biar yg pake apk dana lebih merasa nyaman dan aman trima kasih,5
saya kecewa dengan dana knp bnyak pembayaran yg tidak jelas tanpa memasukan kode pin itu sangat merugikan bagi penggunanya,1
mantap,5
mantap,5
ok,5
sangat memuasakn,5
ok,5
"Sangat ribet mau tarik uang sendiri saja harus upgrade ke premium, dan gagal terus. Harusnya upgrade premium itu pilihan, bukan paksaan yang justru menghambat transaksi. Mau hapus akun satunya juga tidak bisa. Aplikasi sampah",1
bagus dan aman tapi knpa di aplikasi dana saya belum ada dana cicil mohon di perbaiki,5
ok,5
good,5
kecewa dana cicil ga bisa dipakai 😔,1
knoa saya belum menerima pitur dana cicil,5
sangat mendukung,5
mantap bnget,5
ok,5
sangat membantu,5
"kenapa saya login harus pake otp terus pdhlkan udah nyalain facekeynyaa ga jelas bget, pas mau ganti no malah ga di acc jugaa, makin ga jelas nih dana",1
"infonya dong,akun dana saya kalo pake paket data tidak konek,tapi kalo pake wifi bisa",2
puas,5
mantap,5
setiap buka menu aktivitas selalu tidk bisa,2
aplikasi rusak uang gw tiba-tiba ilang belum juga di pake malah ilang parah nih aplikasi,1
"masih ada fitur yang tidak bisa di buka, aku udah nunggu sebulan, udah update juga, masih aja belum ada perbaikan, memang fitur nya sudah ada, namun tidak bisa di buka buat apa?",4
adakan dana cicil saya,5
sangat membantu dalam keuangan sehari hari,5
mudah,5
"benerin lagi lah server nya, masa di kasih pengguna banyak server nya lemot eror",1
bgusss bget,5
mantap,5
ngak rekomend dana bisa transaksi sendiri tanpa persetujuan saya,1
sangat membantu untuk menyimpan uang,5
luar biasa,5
ok,5
sangat bermanfaat,5
sangat baik,5
okokok,5
goood,5
mantap,5
trf cepat dan no admint,5
mantap aplikasinya sangat bermanfaat,5
app bagus,5
terimakasih,5
bagus sekali,5
buruk sekali tidak bisa login kembali akun dana,1
sangat puas,5
sangat membantu,5
keren,5
baik respon sip,5
cukup membantu .tapi di saya gk muncul vitur dana cicil dan dana paylater ..k3napa ya kira kira,5
mantap,5
Bagus,5
gagal daptar di dana bisnis 😢,2
baik,5
"dana cicil pertama di kasih 400rb , pas udh lunas gabisa di pake lagi , tulisan tidak tersedia. kocak",1
saya kecewa dan banyak orang yg kecewa dengan aplikasi dana..banyak uang yg hilang dng sendiri nya... apakah aplikasi dana bekerja sama dng maling...karena dng mudah nya maling mengambil uang .. padahal sudah privasi,1
saya kecewa dengan dana. dana memberikan Diana itu untuk menerima keluhan dari pelangan tapi nyatanya Diana tidak bisa memenuhi kebutuhan pelanggan,1
sangat membantu masyarakat,5
baik lancar aman,5
"akun dana sangat jelek tiap x d pakai pas waktu urgent pasti berkendala, dan itu slalu bukan cuma sx 2 x",1
bagus,2
uang saya kepotong,1
aku dana saya kemaren ada fitur dana cicil selama 1 bulan tapi tidak bisa di gunakan... dan sekarang fitur dana cicil malah menghilang .. anehhh mengecewakan,5
"Tolong aplikasi nya di upgrade min . Biar ada history uang terakhir yang dipake untuk pembayaran apa? , supaya tau pengeluaran sama pemasukan ,contohnya kayak sebelum di pake uangnya rp.100,000 . di pake balanja rp.2,000 = Rp.98,000,-",2
mantap,5
jos,5
Mantap,5
jelek banget suka eror,1
bagus,5
ni tolong nya bisa di benerin gak ni aplikasi nya masa saya mau ngecek udah di kirim apa belum gak bisa di liat sih malah loding mana lama banget tolong di benerin dong saya sangat kecewa untuk mengirim bukti aja gak bisa lo ni emang bener dah aplikasi ini,2
sangat bagus,5
"cepat, tanpa biaya yang jelas recomendet",5
sangat membantu aplikasi ini,5
sangat membantj,5
tidak bisa ke update ke beta,2
dana cicil ga bisa di gunakan padahal dah lunas,1
bgus,5
ok,5
gmn nih dr kmrn diprosee terus cs nya mana udah chat ga ada balasan,1
amanah,4
moga selalu solid dalam melayani nasabah,5
sngt berguna dan menguntungkan,5
"dulu setau ku bisa ganti nomor tanpa ribet, skrg susah bgtt, udh disuruh pemindahan akun, oke di lakuin eh ujung 2 nya sama nihil juga,, alasan keamanan lah, skrg sistem sibuk.. nanya Diana juga cuma robot. oke KLO kurang jelas foto yg dimasukan.bisa di ulng, tpi ini gak bisa,jujur ini mengecewakan disaat lgi butuh dana penting 🔥",5
cukup baik untuk saat ini.,4
baik,5
"bagus, tapi sayang fitur dana cicil saya tidak ada",5
mantap,5
mantaf,5
sangat puas,5
aplikasi sangat terbaik dan sangat membantu terimakasih,5
sebelumnya bisa melakukan top ap game ko sekarang eror Mulu,4
"sangat baik, terbantu juga dengan ada nya dana, semua jadi lebih gampang",5
mantap,5
uang suka ilang sendiri,1
mantap semoga amanah terus,5
sangat baik,5
baik,5
"Pelayanan cs DANA sangat buruk sudah verifikasi ulang tapi akun tatap dibatasi gak guna sekali gak jelas pelayanannya, mending pikir ulang sebelum download Aplikasi ini.",1
lanjutkan untuk kebaikan,3
"Alhamdulillah, aplikasinya terpercaya , tingkatkan trs keamananya",5
ok,5
sangat bermanfaat,5
bagus sekali,5
sangat bagus,5
aneh pitur nya tidak muncul semua,5
aplikasi yang menyusahkan sudah tau nomor hilang disuruh ganti nomor HP sudah di ganti saldo juga gak kembali laporan berkali2 tapi ttp saja tdk ada hasil,4
sangat membantu,5
bagus,5
bagus,5
tidak ada dana cicil..pdhl selalu menggunakan aplikasi dana,1
membantu banget dan ringan di admin,5
sangat mantap,5
dana cicil ku kenapa belum tersedia.?,3
sangat bagus,5
knp aplikasi dana d hp sy tdk bs d buka mhon bntuanny,5
kenapa di apk saya tidak ada dana cicil,1
gmn cara ngubungin pihak google?,5
yuhu,1
top markotop,5
sangat memuaskan akun ini,5
"sangat membantu, sayangnya belum ada fiktur dana instan dan dana cicil",5
mantap,5
The best👍💯,5
bagus sangat mmbantu.,5
"kenapa setiap transaksi harus masukin pin ya, ?? kan jadi ribet",4
mantaap pokoke DANA,5
"ini ada apa dengan dana ya saya mau login tpi cuma muter-muter doang nggk bisa masuk""",1
sangat membantu,5
okey,5
sangat membantu,5
mudah dan cepat utk transfer kemanapun,4
paling is the best gays,5
sangat bagus,5
nge lag pisan oi gw mau beli emas,1
"sangat mudah dan membantu saya untuk kirim uang dan transaksi lainnya,,.",5
"payah saya tidak mengajukan dana cicil tetapi ada tagihan, pelayanan pelanggan juga sulit di akses hanya robot yg menjawab.no recommended dana. yang belum download jangan pakai aplikasi ini layanan pelanggan sulit diakses.",1
sangat membantu,4
mantab transaksi pembayaran jadi lebih mudah,5
Ok,5
"padahal dana cicil udah ada,,tapi kenapa dana instan belum muncul,,,akun udah premium udah sering transaksi juga",3
"hati hati jgn simpen duit d dana bnyk"" sewaktu "" HP hilang no hilang dan lupa no yg pertama d aktifkan semua pihak ny tidak bisa membantu untuk buka akun kita yg lama.. kita harus ada no yg lama.. sedangkan kita sudah lama tidak ingat dia tidak bisa bantu kembali k akun k 2 .. buat pelajaran saja cukup saya saja sudah jgn ada korban "" lain",1
"2 Akun Gabisa Di Login Semua , Masoh Ada Saldo nya Cs Nya ngga ngasih solusi malah muter2 doang , lapor di Instagram di email sama aja emang aplikasi jelek",1
sudah lama pake dana tp blm juga masuk dana cicil,1
verifikasi email gagal trus,3
"padahal sudah pakai dana lama,kemarin tiba"" saldo di dalam dana hilang,ternyata ada yang transaksi dan berhasil,aku kira kalau dana sudah premium kita bisa nyaman menggunakan aplikasinya ternyata tidak,sekarang takut pakai dana",1
baguu,5
